-1 ,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,18 ,19
-1 ,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,107,108
-1 ,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
-1 ,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,115,116,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
-1 ,-1,-1,-1 ,-1,88,-1,-1,-1,-1,-1,139,140,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
-1 ,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
-1 ,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
-1 ,-1,-1,32 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
-1 ,-1,-1,56 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
-1 ,-1,-1,80 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
133,-1,-1,104,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
157,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
-1 ,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
-1 ,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
-1 ,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-1         ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
-1 ,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-2147483561,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
-1 ,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1,-1,-2147483537,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1
