-1073741704,-1,-1 ,-1,-1,-1,-1         ,-1         ,-1         ,-1
-2147483527,-1,-1 ,-1,-1,-1,-1         ,-1         ,-1         ,-1
-1         ,-1,-1 ,-1,-1,-1,-1         ,-1         ,-1         ,-1
-1         ,-1,-1 ,-1,-1,-1,-1         ,-1         ,-1         ,-1
-1         ,-1,-1 ,-1,-1,-1,-1         ,-1         ,-1         ,-1
-1         ,-1,-1 ,-1,-1,-1,-1         ,-1         ,-1         ,-1
-1         ,-1,-1 ,-1,-1,-1,-1         ,-1         ,-1         ,-1
-1         ,-1,-1 ,-1,0 ,1 ,2          ,3          ,-1         ,-1
-1         ,-1,-1 ,-1,30,31,32         ,33         ,-1         ,-1
-1         ,-1,-1 ,-1,60,61,62         ,63         ,-1         ,1073741825
-1         ,-1,120,-1,90,91,92         ,93         ,-1         ,-1
-1         ,-1,121,-1,-1,-1,-1         ,-1         ,-1         ,-1
-1         ,-1,-1 ,-1,-1,-1,-2147483575,-2147483576,-1         ,-1
-1         ,-1,-1 ,-1,24,25,-2147483551,-2147483552,-2147483527,-1
-1         ,-1,-1 ,-1,48,49,-1         ,-1         ,-1         ,-1
