-1,-1,-1 ,-1,82,83,-1,103,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1 ,-1,-1 ,-1
-1,-1,-1 ,-1,89,90,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1 ,-1,-1 ,-1
-1,-1,-1 ,-1,-1,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1 ,-1,-1 ,-1
-1,-1,-1 ,-1,-1,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,94 ,95 ,-1,-1 ,-1
-1,-1,-1 ,-1,-1,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,101,102,73,-1 ,-1
-1,-1,-1 ,-1,-1,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1 ,80,81 ,-1
-1,-1,-1 ,-1,-1,82,83,92 ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1 ,87,88 ,-1
-1,-1,-1 ,-1,-1,89,90,99 ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,81,-1,-1,-1,-1 ,-1 ,-1 ,-1,-1 ,-1
-1,-1,-1 ,-1,-1,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1 ,-1,-1 ,-1
-1,-1,-1 ,-1,80,81,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1 ,-1,93 ,59
91,92,-1 ,-1,-1,88,-1,-1 ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1 ,-1,100,66
98,99,100,-1,-1,-1,-1,-1 ,-1,-1,-1,-1,-1,-1,80,81,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1 ,-1,-1 ,73
-1,97,-1 ,-1,-1,-1,-1,-1 ,56,57,58,59,-1,-1,87,88,-1,-1,-1,-1,-1,-1,93,-1,-1 ,-1 ,-1 ,-1,-1 ,-1
-1,-1,-1 ,-1,-1,-1,-1,-1 ,63,64,65,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,71,72,94 ,95 ,91 ,-1,-1 ,-1
-1,-1,-1 ,-1,-1,-1,-1,-1 ,70,71,72,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,101,102,98 ,-1,-1 ,-1
-1,-1,-1 ,-1,-1,-1,-1,-1 ,-1,-1,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 ,-1 ,-1 ,-1,-1 ,-1
